Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
위지트	1397308	1095	2019-01-03	036090	21306037	1175	1.0730593607305936	15.247917424075437
윙입푸드	1016640	1385	2019-01-03	900340	10895263	1465	1.0577617328519855	10.716933231035568
남화산업	712420	9150	2019-01-03	111710	5500720	10400	1.1366120218579234	7.72117571095702
큐캐피탈	558326	633	2019-01-03	016600	4019228	640	1.0110584518167456	7.198711863678209
수산중공업	573526	1610	2019-01-03	017550	3930467	1730	1.0745341614906831	6.853162716250004
신원	3697294	1925	2019-01-03	009270	24828344	2390	1.2415584415584415	6.71527446830033
SK네트웍스	902071	5180	2019-01-03	001740	4795141	5490	1.0598455598455598	5.315702422536585
HB테크놀러지	1331125	3195	2019-01-03	078150	6870963	3015	0.9436619718309859	5.161771433937459
재영솔루텍	4498623	1065	2019-01-03	049630	22382993	1210	1.136150234741784	4.975520953856324
엠게임	1635482	3060	2019-01-03	058630	7987757	3345	1.0931372549019607	4.884038466947358
정산애강	546760	2140	2019-01-03	022220	2668408	2310	1.0794392523364487	4.880400907162191
에코바이오	794644	7270	2019-01-03	038870	3754920	8050	1.107290233837689	4.725285788353023
세우글로벌	1409603	1755	2019-01-03	013000	6216970	1905	1.0854700854700854	4.410440386406669
좋은사람들	6034875	4635	2019-01-03	033340	25903420	6020	1.2988133764832794	4.292287744153773
와이디온라인	1433174	803	2019-01-03	052770	6018185	827	1.029887920298879	4.199200515778266
Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
좋은사람들	6034875	4635	2019-01-03	033340	25903420	6020	1.2988133764832794	4.292287744153773
인디에프	4001840	2460	2019-01-03	014990	13288644	3195	1.298780487804878	3.3206335085860506
신원	3697294	1925	2019-01-03	009270	24828344	2390	1.2415584415584415	6.71527446830033
남화산업	712420	9150	2019-01-03	111710	5500720	10400	1.1366120218579234	7.72117571095702
재영솔루텍	4498623	1065	2019-01-03	049630	22382993	1210	1.136150234741784	4.975520953856324
장원테크	648646	17800	2019-01-03	174880	1296937	20100	1.1292134831460674	1.9994527060985499
제룡전기	578469	8100	2019-01-03	033100	2417571	9110	1.1246913580246913	4.179257661171126
에코바이오	794644	7270	2019-01-03	038870	3754920	8050	1.107290233837689	4.725285788353023
제룡산업	652850	8530	2019-01-03	147830	1743733	9360	1.0973036342321218	2.670955043271808
서암기계공업	1190591	6630	2019-01-03	100660	4476256	7270	1.096530920060332	3.7596924552596147
보해양조	59051382	2095	2019-01-03	000890	87284755	2295	1.0954653937947494	1.4781153640062141
엠게임	1635482	3060	2019-01-03	058630	7987757	3345	1.0931372549019607	4.884038466947358
세우글로벌	1409603	1755	2019-01-03	013000	6216970	1905	1.0854700854700854	4.410440386406669
정산애강	546760	2140	2019-01-03	022220	2668408	2310	1.0794392523364487	4.880400907162191
이화전기	8599372	267	2019-01-03	024810	32940776	287	1.0749063670411985	3.830602513764959
Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
KJ프리텍	918836	490	2019-01-04	083470	19380013	420	0.8571428571428571	21.091917382427333
풍강	835097	3400	2019-01-04	093380	12298798	4420	1.3	14.72738855486249
크로바하이텍	1074889	1865	2019-01-04	043590	8577177	2285	1.225201072386059	7.979593241720773
크리스탈신소재	582759	1035	2019-01-04	900250	4587416	1005	0.9710144927536232	7.871892154389722
지스마트글로벌	1693878	1865	2019-01-04	114570	11718827	1995	1.0697050938337802	6.918341816825061
넥슨지티	2308900	8280	2019-01-04	041140	12336920	9770	1.179951690821256	5.343202390748841
흥국	1611124	6690	2019-01-04	010240	7841070	8300	1.2406576980568012	4.86683209982596
대영포장	9460154	1220	2019-01-04	014160	45526275	1315	1.0778688524590163	4.812424300915186
주연테크	2642282	386	2019-01-04	044380	9236161	443	1.1476683937823835	3.4955243232932744
넷게임즈	2074959	9580	2019-01-04	225570	6441634	10050	1.0490605427974948	3.104463268912783
디에이테크놀로지	896542	3305	2019-01-04	196490	2425443	3665	1.1089258698940998	2.7053311501301667
원익큐브	746785	2505	2019-01-04	014190	1811314	2520	1.0059880239520957	2.425482568610778
위메이드	542990	30500	2019-01-04	112040	1246388	35150	1.1524590163934427	2.2954161218438647
제미니투자	986453	692	2019-01-04	019570	2222313	731	1.05635838150289	2.252832116684728
시노펙스	2034831	2870	2019-01-04	025320	4568015	2955	1.029616724738676	2.2449112481577096
Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
풍강	835097	3400	2019-01-04	093380	12298798	4420	1.3	14.72738855486249
와이비엠넷	4013812	3050	2019-01-04	057030	6259162	3965	1.3	1.559405871525622
흥국	1611124	6690	2019-01-04	010240	7841070	8300	1.2406576980568012	4.86683209982596
크로바하이텍	1074889	1865	2019-01-04	043590	8577177	2285	1.225201072386059	7.979593241720773
넥슨지티	2308900	8280	2019-01-04	041140	12336920	9770	1.179951690821256	5.343202390748841
위메이드	542990	30500	2019-01-04	112040	1246388	35150	1.1524590163934427	2.2954161218438647
주연테크	2642282	386	2019-01-04	044380	9236161	443	1.1476683937823835	3.4955243232932744
강스템바이오텍	1862686	20200	2019-01-04	217730	1983001	22500	1.113861386138614	1.064592207167499
디에이테크놀로지	896542	3305	2019-01-04	196490	2425443	3665	1.1089258698940998	2.7053311501301667
삼기오토모티브	884615	2465	2019-01-04	122350	1353598	2710	1.0993914807302232	1.5301549261543157
핸디소프트	520789	5920	2019-01-04	220180	605358	6500	1.097972972972973	1.1623863023220538
라이트론	508711	9340	2019-01-04	069540	662677	10250	1.0974304068522485	1.3026590736194028
SK증권우	1150164	3450	2019-01-04	001515	1242370	3770	1.0927536231884059	1.0801676978239625
코미팜	2837508	21200	2019-01-04	041960	1091809	23050	1.0872641509433962	0.3847774173676339
장원테크	1296937	20100	2019-01-04	174880	1135489	21800	1.0845771144278606	0.875515927142182
Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
에이프로젠 KIC	2819639	4240	2019-01-07	007460	55663128	3350	0.7900943396226415	19.741225029161534
KD건설	3271013	103	2019-01-07	044180	38161275	112	1.087378640776699	11.66650056114115
루멘스	2035926	2755	2019-01-07	038060	21176579	3265	1.1851179673321235	10.401448284466134
포스코엠텍	541659	6400	2019-01-07	009520	4322944	7280	1.1375	7.98093265320063
제미니투자	2222313	731	2019-01-07	019570	13766559	825	1.1285909712722297	6.194698496566415
티플랙스	1433483	2800	2019-01-07	081150	8431755	3015	1.0767857142857142	5.882005576626999
국영지앤엠	699832	1515	2019-01-07	006050	4094800	1620	1.0693069306930694	5.851118554167286
디오스텍	1007571	1070	2019-01-07	196450	5218617	1180	1.102803738317757	5.1794037343274075
나노메딕스	565772	5670	2019-01-07	074610	2862212	6630	1.1693121693121693	5.058949541511422
위지트	2569367	1170	2019-01-07	036090	12902040	1170	1.0	5.021485836783924
삼본정밀전자	1151531	3310	2019-01-07	111870	5434498	3575	1.0800604229607251	4.719367520283866
SK증권	2087099	650	2019-01-07	001510	9381536	668	1.0276923076923077	4.49501245508718
제이콘텐트리	1193937	4740	2019-01-07	036420	5067767	5150	1.0864978902953586	4.244584932035777
우리은행	2626832	15400	2019-01-07	000030	10334391	14550	0.9448051948051948	3.934165184526456
윌비스	622371	1365	2019-01-07	008600	2123157	1415	1.0366300366300367	3.411400916816497
Name	yester_Volume	yester_Close	Date	Code	today_Volume	today_Close	Close	Volume
넥슨지티	12336920	9770	2019-01-07	041140	11519295	12700	1.2998976458546572	0.9337253544644855
넷게임즈	6441634	10050	2019-01-07	225570	7538348	12550	1.2487562189054726	1.1702540069802165
루멘스	2035926	2755	2019-01-07	038060	21176579	3265	1.1851179673321235	10.401448284466134
나노메딕스	565772	5670	2019-01-07	074610	2862212	6630	1.1693121693121693	5.058949541511422
포스코엠텍	541659	6400	2019-01-07	009520	4322944	7280	1.1375	7.98093265320063
